NA123,type,prcp
,unseeded,1202.60 
,unseeded,830.10 
,unseeded,372.40 
,unseeded,345.50 
,unseeded,321.20 
,unseeded,244.30 
,unseeded,163.00 
,unseeded,147.80 
,unseeded,95.00 
,unseeded,87.00 
,unseeded,81.20 
,unseeded,68.50 
,unseeded,47.30 
,unseeded,41.10 
,unseeded,36.60 
,unseeded,29.00 
,unseeded,28.60 
,unseeded,26.30 
,unseeded,26.00 
,unseeded,24.40 
,unseeded,21.40 
,unseeded,17.30 
,unseeded,11.50 
,unseeded,4.90 
,unseeded,4.90 
,unseeded,1.00 
,seeded,2745.60 
,seeded,1697.10 
,seeded,1656.40 
,seeded,978.00 
,seeded,703.40 
,seeded,489.10 
,seeded,430.00 
,seeded,334.10 
,seeded,302.80 
,seeded,274.70 
,seeded,274.70 
,seeded,255.00 
,seeded,242.50 
,seeded,200.70 
,seeded,198.60 
,seeded,129.60 
,seeded,119.00 
,seeded,118.30 
,seeded,115.30 
,seeded,92.40 
,seeded,40.60 
,seeded,32.70 
,seeded,31.40 
,seeded,17.50 
,seeded,7.70 
,seeded,4.10 
