er,year,month,day,prcp,temp,dayl,humidity,srad,wind,Q
,2000,1,1,0,1,0.399388,71,0,2.5,3
,2000,1,2,0,1.4,0.399761,62,61,2.8,3.27
,2000,1,3,0,-0.9,0.400169,60,0,3,3.54
,2000,1,4,0,-0.9,0.40061,67,0,3.5,3.81
,2000,1,5,0,-0.5,0.401084,74,0,4,4.08
,2000,1,6,0,-1.6,0.401591,71,52,1.5,4.35
,2000,1,7,0,-5,0.40213,49,31,3.3,4.62
,2000,1,8,0,-4,0.402701,61,52,2,4.89
,2000,1,9,0,-1.5,0.403304,68,0,2.3,5.16
,2000,1,10,0.7,-1.8,0.403939,81,0,3.3,5.43
,2000,1,11,8.1,-2.5,0.404604,87,0,4,5.7
,2000,1,12,3.3,-3.3,0.4053,84,0,1.5,8.33
,2000,1,13,1.65,-3.6,0.406025,81,0,2.3,10.96
,2000,1,14,0,-5.2,0.406781,78,49,1.3,13.59
,2000,1,15,6,-4,0.407565,88,0,1.5,16.22
,2000,1,16,0.5,-3.1,0.408378,81,0,2.3,18.85
,2000,1,17,0,-4.4,0.409219,83,0,2,21.48
,2000,1,18,0,-4.9,0.410088,81,67,1.8,24.11
,2000,1,19,0,-4.5,0.410983,57,90,1.8,26.74
,2000,1,20,0,-6.1,0.411906,69,76,2.5,29.37
,2000,1,21,0.6,-6.6,0.412854,77,0,1.5,32
,2000,1,22,0.35,-5.1,0.413828,87,0,2,31.090909
,2000,1,23,0.1,-5.2,0.414827,97,0,2,30.181818
,2000,1,24,0.05,-6.2,0.415851,73,0,3.8,29.272727
,2000,1,25,0,-7.1,0.416898,53,71,2.3,28.363636
,2000,1,26,0,-6.2,0.417969,57,82,1.8,27.454545
,2000,1,27,0,-4.8,0.419062,60,85,2.5,26.545455
,2000,1,28,0,-2.7,0.420178,62,76,3,25.636364
,2000,1,29,0,-2.8,0.421316,67,74,2,24.727273
,2000,1,30,0,-4.4,0.422475,43,86,1.8,23.818182
,2000,1,31,0,-6.3,0.423654,46,57,2,22.909091
,2000,2,1,0,-5.7,0.424854,54,69,3.3,22
,2000,2,2,0,-4.5,0.426073,74,0,0.8,21.55
,2000,2,3,0,-3,0.427311,66,60,2,21.1
,2000,2,4,0,-2.3,0.428567,79,0,1.8,20.65
,2000,2,5,0,1,0.429842,82,21,2.8,20.2
,2000,2,6,0,-2.8,0.431134,96,0,2,19.75
,2000,2,7,0,-0.2,0.432442,71,80,2.8,19.3
,2000,2,8,0,-2.3,0.433767,47,90,2.8,18.85
,2000,2,9,0,-0.8,0.435108,54,60,3.8,18.4
,2000,2,10,0,0.4,0.436465,72,61,1.8,17.95
,2000,2,11,0,2,0.437836,74,64,2.3,17.5
,2000,2,12,0,4.1,0.439222,77,59,2,17.25
,2000,2,13,0,1.3,0.440621,79,0,3,17
,2000,2,14,0,1.2,0.442034,73,68,2.3,16.75
,2000,2,15,0,0.4,0.44346,48,88,1.8,16.5
,2000,2,16,0,2.3,0.444898,53,84,2.8,16.25
,2000,2,17,0,2,0.446348,65,55,2.3,16
,2000,2,18,0,2.4,0.44781,54,0,3.5,15.75
,2000,2,19,0.7,0.5,0.449283,81,0,2.5,15.5
,2000,2,20,0,3.3,0.450766,52,66,2.3,15.25
,2000,2,21,0,3.4,0.45226,57,56,3,15
,2000,2,22,0,5.7,0.453763,66,52,4.8,13.5
,2000,2,23,0,3.9,0.455276,61,0,3.5,12
,2000,2,24,0,3.1,0.456798,56,0,1.8,10.5
,2000,2,25,0.9,4.8,0.458329,54,84,4,9
,2000,2,26,0,6.3,0.459868,36,95,2.3,7.5
,2000,2,27,0,7.9,0.461414,34,97,2.5,6
,2000,2,28,0,3.9,0.462968,54,91,3.5,4.5
,2000,2,29,0,5.9,0.46453,55,90,3.3,3
,2000,3,1,0,9.5,0.466098,50,81,4.8,1.5
,2000,3,2,0,10,0.467672,43,84,4,1.5
,2000,3,3,0,11,0.469252,49,72,3,1.5
,2000,3,4,0,9,0.470838,39,64,3.3,1.5
,2000,3,5,0,10.2,0.47243,41,82,1,1.5
,2000,3,6,0,8.3,0.474026,34,95,2.5,1.5
,2000,3,7,0,6.9,0.475627,36,95,3.8,1.5
,2000,3,8,0,7.1,0.477233,39,93,2,1.5
,2000,3,9,0,8.6,0.478842,43,86,1.5,1.5
,2000,3,10,0,9.1,0.480455,48,80,2.5,1.5
,2000,3,11,0,8.6,0.482072,60,63,4,1.5
,2000,3,12,0,8.5,0.483692,69,72,3.3,1.738095
,2000,3,13,0,9.9,0.485315,72,55,3.3,1.97619
,2000,3,14,0,10.6,0.48694,69,26,2.3,2.214286
,2000,3,15,0,11.7,0.488568,50,81,2.5,2.452381
,2000,3,16,0,11.3,0.490197,53,92,3,2.690476
,2000,3,17,0,12.7,0.491828,48,100,3,2.928571
,2000,3,18,0,14.5,0.493461,39,90,3.5,3.166667
,2000,3,19,0,8.9,0.495095,38,103,3.5,3.404762
,2000,3,20,0,9.7,0.496729,43,54,5,3.642857
